word,association_score,lr_semantic,left_freq,right_freq,total_freq,lr_self_mean_left,lr_self_mean_right,lr_self_mean_weighted,lr_self_mean,eng_word_transl
vernichtung,-0.9958474645409692,left,1,0,1,9,NA,NA,9,destruction
arbeitswelt,-0.9957913009708896,left,2,0,2,3,NA,NA,3,working world
gerechtigkeitwirtschaft,-0.9956490199266884,left,1,0,1,3,NA,NA,3,justice economy
europäische,-0.9955562915323384,left,1,0,1,2,NA,NA,2,European
erbringen,-0.99553166146671,left,1,0,1,7,NA,NA,7,provide
materielle,-0.9955297308439884,left,1,0,1,2,NA,NA,2,material
definierte,-0.9954901823300576,left,1,0,1,6,NA,NA,6,defined
bürgerversicherung,-0.9954731577478771,left,2,0,2,5.5,NA,NA,5.5,citizen's insurance
sozialtransferleistungen,-0.9954317371149436,left,1,0,1,6,NA,NA,6,social transfer payments
unverteilung,-0.9954243071426518,left,1,0,1,7,NA,NA,7,disparity
sozialtransfers,-0.9954009641588376,left,1,0,1,7,NA,NA,7,social transfers
gerechtere,-0.9953914280526678,left,5,0,5,3.2,NA,NA,3.2,fairer
institutionalisierung,-0.9953678510539782,left,1,0,1,8,NA,NA,8,institutionalization
entsteht,-0.9953618251709384,left,1,0,1,2,NA,NA,2,arises
internationalität,-0.9952114121098192,left,6,0,6,4.166666666666667,NA,NA,4.166666666666667,internationality
bürgerverwaltung,-0.995198248773082,left,1,0,1,6,NA,NA,6,citizen administration
bildungsgleichheit,-0.9951068074605464,left,1,0,1,7,NA,NA,7,educational equality
vergesellschaftung,-0.9950806562982282,left,7,0,7,5.857142857142857,NA,NA,5.857142857142857,socialization
autonomie,-0.9950457880818038,left,1,0,1,4,NA,NA,4,autonomy
grundabsicherung,-0.995004776974902,left,1,0,1,3,NA,NA,3,basic insurance
alternativität,-0.994992549697666,left,1,0,1,2,NA,NA,2,alternativeness
leistungskontrolle,-0.994930594259422,left,1,0,1,8,NA,NA,8,performance monitoring
verbinden,-0.9949060226975124,left,1,0,1,2,NA,NA,2,connect
vergemeinschaftung,-0.9948994117772842,left,5,0,5,6.8,NA,NA,6.8,communitization
festgelegt,-0.9948685803174594,left,1,0,1,3,NA,NA,3,set
verwaltung,-0.9948609748340111,left,1,0,1,5,NA,NA,5,administration
entlohnung,-0.994716880174526,left,1,0,1,NA,NA,NA,NA,remuneration
gesellschaftsstruktur,-0.9946820119581016,left,1,0,1,4,NA,NA,4,social structure
begrenzen,-0.9946789697647224,left,1,0,1,3,NA,NA,3,limit
sozialgemeinschaft,-0.9946775071717516,left,1,0,1,4,NA,NA,4,social community
zukunftsorientierung,-0.99465954653007,left,1,0,1,4,NA,NA,4,future orientation
solidarrente,-0.9946563873292528,left,1,0,1,3,NA,NA,3,solidarity pension
anwendung,-0.9946435750148286,left,1,0,1,6,NA,NA,6,application
sozialstaatlichkeit,-0.994633629382627,left,3,0,3,2.6666666666666665,NA,NA,2.6666666666666665,welfare state
umfairteilung,-0.9946232157206748,left,1,0,1,3,NA,NA,3,redistribution
verteilt,-0.9946130945773168,left,2,0,2,8.5,NA,NA,8.5,distributed
minderheitenförderung,-0.9945960699951364,left,1,0,1,8,NA,NA,8,minority support
bedarfsgerecht,-0.9945953094467916,left,1,0,1,4,NA,NA,4,needs-based
arbeitsbedingungen,-0.9945784018720488,left,2,0,2,2.5,NA,NA,2.5,working conditions
sozialprogramme,-0.9945697433216616,left,1,0,1,8,NA,NA,8,social programs
grundgemeinschaft,-0.9945467513601604,left,1,0,1,7,NA,NA,7,basic community
organisationsstruktur,-0.9945323009416086,left,1,0,1,5,NA,NA,5,organizational structure
europäischer,-0.9945207172052798,left,2,0,2,4,NA,NA,4,European
finanzierung,-0.994493688487179,left,1,0,1,4,NA,NA,4,financing
mindestsicherung,-0.9944883061450464,left,1,0,1,3,NA,NA,3,minimum income
pluralität,-0.9944756693417786,left,1,0,1,4,NA,NA,4,plurality
geschlechtergerechtigkeit,-0.994469175428988,left,2,0,2,3,NA,NA,3,gender equality
einkommensverteilung,-0.9944470025195504,left,1,0,1,5,NA,NA,5,income distribution
sozialgerecht,-0.9944252976398636,left,4,0,4,3.5,NA,NA,3.5,socially just
herstellen,-0.9943968648325108,left,1,0,1,3,NA,NA,3,produce
steuer,-0.9943896688750944,left,1,0,1,4,NA,NA,4,tax
direkte,-0.994350939413227,left,3,0,3,1.3333333333333333,NA,NA,1.3333333333333333,direct
sozialpflicht,-0.9943367230095508,left,1,0,1,3,NA,NA,3,social obligation
erfindung,-0.9943326862529512,left,1,0,1,7,NA,NA,7,invention
sozialgerechtes,-0.9943153691521768,left,1,0,1,3,NA,NA,3,socially just
wirkung,-0.9942759961494024,left,1,0,1,3,NA,NA,3,effect
sinnvolle,-0.9942174924305696,left,1,0,1,8,NA,NA,8,meaningful
entscheidungsprozesse,-0.9942102379694342,left,1,0,1,3,NA,NA,3,decision-making processes
überregelung,-0.9941938569281612,left,1,0,1,7,NA,NA,7,over-regulation
organisieren,-0.9941243545101878,left,2,0,2,2.5,NA,NA,2.5,organize
bürgernähe,-0.9941094945656044,left,1,0,1,1,NA,NA,1,closeness to the people
lebensführung,-0.9941056333201612,left,3,0,3,7.333333333333333,NA,NA,7.333333333333333,lifestyle
kollektivlösungen,-0.9941020645933124,left,1,0,1,6,NA,NA,6,collective solutions
planwirtschaftliche,-0.9940449649637316,left,1,0,1,7,NA,NA,7,planned economy
unbegrenzte,-0.9940446139414189,left,1,0,1,7,NA,NA,7,unlimited
sozialsystem,-0.9940432683558856,left,1,0,1,4,NA,NA,4,social system
lebensverhältnisse,-0.9940382955397848,left,6,0,6,3.6666666666666665,NA,NA,3.6666666666666665,living conditions
besondere,-0.9940320356418696,left,2,0,2,8,NA,NA,8,special
angleichung,-0.9940271798332064,left,2,0,2,8,NA,NA,8,alignment
marktregulierung,-0.9939933646837212,left,1,0,1,1,NA,NA,1,market regulation
zukunftsfähigkeit,-0.9939731223970052,left,2,0,2,3,NA,NA,3,sustainability
verringern,-0.9939656339209944,left,2,0,2,3,NA,NA,3,reduce
vereinigt,-0.9939537576660714,left,1,0,1,1,NA,NA,1,united
ganzheitliche,-0.9939524120805384,left,1,0,1,5,NA,NA,5,holistic
regelung,-0.9939112839661988,left,1,0,1,2,NA,NA,2,control
beachten,-0.9938647735097268,left,1,0,1,3,NA,NA,3,observe
überwinden,-0.9938471053866392,left,2,0,2,5,NA,NA,5,overcome
problemlösung,-0.9937806451620452,left,1,0,1,2,NA,NA,2,problem solving
integrative,-0.9937675988327456,left,1,0,1,4,NA,NA,4,integrative
integr,-0.99374431435265,left,1,0,1,2,NA,NA,2,integrated
sozialwesen,-0.9937082760618492,left,1,0,1,5,NA,NA,5,social services
durchzusetzen,-0.993699910030056,left,1,0,1,9,NA,NA,9,to enforce
wirtschaftsentwicklung,-0.9936943521767668,left,1,0,1,3,NA,NA,3,economic development
alimentierung,-0.9936711847041092,left,1,0,1,6,NA,NA,6,alimony
versorgungsmentalität,-0.9936594254566238,left,1,0,1,7,NA,NA,7,care mentality
energie,-0.9936230361435098,left,1,0,1,2,NA,NA,2,energy
lebensqualität,-0.9935908590981518,left,3,0,3,3.3333333333333335,NA,NA,3.3333333333333335,quality of life
lastenverteilung,-0.9935741855382844,left,1,0,1,3,NA,NA,3,burden distribution
sozialstaate,-0.9935693297296212,left,1,0,1,8,NA,NA,8,welfare state
überregulieriung,-0.9935669310771492,left,1,0,1,8,NA,NA,8,overregulation
anhäufung,-0.9935664630473984,left,1,0,1,6,NA,NA,6,accumulation
sozialorientierte,-0.993558565045356,left,1,0,1,6,NA,NA,6,socially oriented
statusbewahrung,-0.9935357485950111,left,1,0,1,8,NA,NA,8,status preservation
gerechteren,-0.9935165008715152,left,2,0,2,3,NA,NA,3,fairer
ausgewogene,-0.9935007633711492,left,1,0,1,1,NA,NA,1,balanced
berücksichtigung,-0.9934812231290592,left,1,0,1,8,NA,NA,8,consideration
bewältigen,-0.9934682353034784,left,1,0,1,6,NA,NA,6,get over
daseinsvorsorge,-0.9933949886474996,left,2,0,2,1.5,NA,NA,1.5,public services
offene,-0.9933825273553882,left,36,0,36,4.323529411764706,NA,NA,4.323529411764706,open
verhinderung,-0.993361992550078,left,1,0,1,8,NA,NA,8,prevention
innovationsfähigkeit,-0.9933440319083964,left,1,0,1,3,NA,NA,3,ability to innovate
überwindung,-0.9933389420848578,left,2,0,2,2,NA,NA,2,overcoming
sozialprinzip,-0.9933253107183698,left,1,0,1,5,NA,NA,5,social principle
verdienen,-0.9933129079299772,left,2,0,2,7,NA,NA,7,earn
ermöglichung,-0.9932972874370488,left,1,0,1,4,NA,NA,4,enabling
abrüstung,-0.9932926656432612,left,4,0,4,1.5,NA,NA,1.5,disarmament
verwirklichen,-0.993289915968476,left,2,0,2,4,NA,NA,4,realize
einkommensreduzierungverteilung,-0.993272423356545,left,1,0,1,4,NA,NA,4,income reduction distribution
klimaorientierung,-0.9932713117858872,left,1,0,1,8,NA,NA,8,climate orientation
gewährt,-0.9932317632719564,left,1,0,1,8,NA,NA,8,granted
ganzheitlichkeit,-0.9932198285133144,left,1,0,1,1,NA,NA,1,holistic approach
internationalisierung,-0.9932018678716328,left,1,0,1,6,NA,NA,6,internationalization
regulierungen,-0.9931815670811978,left,1,0,1,6,NA,NA,6,regulations
anteile,-0.9931771793022852,left,1,0,1,5,NA,NA,5,shares
ökologische,-0.9931706853894948,left,8,0,8,2.625,NA,NA,2.625,ecological
organisation,-0.9931679357147096,left,1,0,1,3,NA,NA,3,organization
eingriffsverwaltung,-0.9931253450073996,left,1,0,1,9,NA,NA,9,intervention management
leistungsanreize,-0.9931246429627736,left,2,0,2,6,NA,NA,6,performance incentives
bieten,-0.9931071503508424,left,1,0,1,5,NA,NA,5,offer
realisieren,-0.9930935189843544,left,1,0,1,3,NA,NA,3,realize
helfen,-0.993093343473198,left,2,0,2,5,NA,NA,5,help
misswirtschaft,-0.993082812803808,left,1,0,1,4,NA,NA,4,mismanagement
gleichrangigkeit,-0.993028989382482,left,2,0,2,3.5,NA,NA,3.5,equality
zukunftsorientierte,-0.9930031892424768,left,1,0,1,3,NA,NA,3,future-oriented
augenhöhe,-0.9929983919375324,left,2,0,2,3,NA,NA,3,eye level
enteignung,-0.9929872762309542,left,20,0,20,7.105263157894737,NA,NA,7.105263157894737,expropriation
tätigkeit,-0.9929842925412936,left,1,0,1,3,NA,NA,3,task
rechnung,-0.9929829469557604,left,1,0,1,4,NA,NA,4,invoice
besteuerung,-0.992982771444604,left,3,0,3,3.3333333333333335,NA,NA,3.3333333333333335,taxation
korrektheit,-0.9929730013235588,left,2,0,2,8,NA,NA,8,correctness
reglementierungbürokratisierung,-0.9929662733958932,left,1,0,1,5,NA,NA,5,regulation bureaucratization
linksrechtseinteilung,-0.9929549236744396,left,1,0,1,3,NA,NA,3,left-right division
unbeschränkte,-0.9929471426798347,left,1,0,1,6,NA,NA,6,unlimited
bürgerbeteiligung,-0.9929333943059092,left,1,0,1,3,NA,NA,3,citizen participation
lebensleistung,-0.9929239167034584,left,1,0,1,7,NA,NA,7,life's work
sozialersicherheiten,-0.9929229806439568,left,1,0,1,1,NA,NA,1,social security
selbstbestimmtheit,-0.992918417353888,left,1,0,1,5,NA,NA,5,self-determination
gerechter,-0.9928906280874424,left,1,0,1,3,NA,NA,3,fairer
lebensbereiche,-0.9928819110333365,left,4,0,4,6.25,NA,NA,6.25,areas of life
öffentlicherordnung,-0.9928724919346044,left,1,0,1,9,NA,NA,9,public order
globalen,-0.9928620197689332,left,1,0,1,3,NA,NA,3,global
affinität,-0.9928604986722436,left,1,0,1,8,NA,NA,8,affinity
vergesellschaften,-0.9928152752975858,left,1,0,1,6,NA,NA,6,socialize
lebensmodelle,-0.9927996548046576,left,1,0,1,2,NA,NA,2,life models
steuererhöhung,-0.99279918677490675,left,7,0,7,6.857142857142857,NA,NA,6.857142857142857,tax increase
gemeinwohlorientierung,-0.9927947989959944,left,5,0,5,3.2,NA,NA,3.2,common good orientation
neutralität,-0.9927863744604823,left,1,0,1,5,NA,NA,5,neutrality
versorgungsstaat,-0.9927709294787106,left,2,0,2,6,NA,NA,6,welfare state
zukunftsfähige,-0.9927534368667796,left,1,0,1,3,NA,NA,3,sustainable
inklusion,-0.9927446028052358,left,12,0,12,2.5833333333333335,NA,NA,2.5833333333333335,inclusion
praktisch,-0.9927398640040104,left,1,0,1,1,NA,NA,1,practical
nivellierung,-0.9927384014110396,left,1,0,1,7,NA,NA,7,leveling
solidaritätsgesellschaft,-0.99273436465444,left,1,0,1,5,NA,NA,5,solidarity society
bezahlbare,-0.9927177495982916,left,1,0,1,2,NA,NA,2,affordable
tägliche,-0.9927147659086312,left,1,0,1,8,NA,NA,8,daily
problem,-0.9927091495516231,left,1,0,1,3,NA,NA,3,problem
grundeinkommen,-0.9926906038727532,left,9,0,9,6,NA,NA,6,basic income
versorgende,-0.9926593628868964,left,1,0,1,9,NA,NA,9,caring
lernt,-0.9926480716691618,left,1,0,1,10,NA,NA,10,learns
menschenwürdige,-0.9926379505258036,left,1,0,1,1,NA,NA,1,humane
sichere,-0.9925894509428912,left,2,0,2,3,NA,NA,3,secure
körperliche,-0.9925806168813476,left,1,0,1,2,NA,NA,2,physical
erziehung,-0.9925773991768118,left,1,0,1,8,NA,NA,8,education
organisiert,-0.992570378730552,left,2,0,2,7.5,NA,NA,7.5,organized
erfolgt,-0.992568214092955,left,1,0,1,6,NA,NA,6,done
formale,-0.9925649378847003,left,1,0,1,6,NA,NA,6,formal
ausreichende,-0.9925640018251992,left,1,0,1,4,NA,NA,4,sufficient
partizipation,-0.9925630072619788,left,4,0,4,3.25,NA,NA,3.25,participation
faire,-0.992540249315353,left,6,0,6,2.6,NA,NA,2.6,fair
materiellen,-0.992529777149682,left,2,0,2,3,NA,NA,3,material
gründen,-0.9925216451327642,left,1,0,1,1,NA,NA,1,found
größtmögliche,-0.99251883695426,left,1,0,1,2,NA,NA,2,greatest possible
regelnde,-0.9924999402530772,left,1,0,1,9,NA,NA,9,regulatory
ausgleichende,-0.9924963715262284,left,2,0,2,1.5,NA,NA,1.5,balancing
schulbildung,-0.992490228635751,left,1,0,1,9,NA,NA,9,school education
regelmentierung,-0.9924894095836873,left,1,0,1,8,NA,NA,8,regulation
generationengeschlechtergerechtigkeit,-0.9924788204105786,left,1,0,1,NA,NA,NA,NA,intergenerational gender equality
individfreiheit,-0.9924775333287642,left,1,0,1,8,NA,NA,8,individual freedom
möglichkeit,-0.9924727945275388,left,1,0,1,4,NA,NA,4,possibility
bankenregulierung,-0.9924421970825892,left,2,0,2,6,NA,NA,6,banking regulation
verbesserung,-0.9924338310507962,left,5,0,5,4.8,NA,NA,4.8,improvement
freund,-0.9924169819797724,left,1,0,1,1,NA,NA,1,friend
harmonie,-0.9923941070257088,left,1,0,1,2,NA,NA,2,harmony
realisierung,-0.992393990018271,left,1,0,1,3,NA,NA,3,realization
nachfolgende,-0.992391883884393,left,1,0,1,3,NA,NA,3,subsequent
umfassende,-0.9923712320716452,left,1,0,1,4,NA,NA,4,comprehensive
regel,-0.9923640946179476,left,1,0,1,8,NA,NA,8,rule
demokratisierung,-0.992363860603072,left,6,0,6,2,NA,NA,2,democratization
bekämpfen,-0.9923469530283296,left,3,0,3,4.666666666666667,NA,NA,4.666666666666667,fight
leistungsfähigkeit,-0.9923141324420643,left,2,0,2,3.5,NA,NA,3.5,performance
vereinbarkeit,-0.992311148752404,left,1,0,1,3,NA,NA,3,compatibility
leistungsprinzips,-0.9922969908524464,left,1,0,1,7,NA,NA,7,performance principle
sozialnachhaltiggerecht,-0.9922961132966638,left,1,0,1,4,NA,NA,4,socially sustainable
unbezahlbarkeit,-0.992283066967364,left,1,0,1,5,NA,NA,5,unaffordability
fair,-0.9922823064190192,left,7,0,7,2.7142857142857144,NA,NA,2.7142857142857144,fair
humanität,-0.992269494104595,left,3,0,3,3.5,NA,NA,3.5,humanity
energien,-0.9922689090674066,left,1,0,1,3,NA,NA,3,energies
transparenz,-0.9922424653864942,left,1,0,1,2,NA,NA,2,transparency
kümmern,-0.9922404762600538,left,4,0,4,4.5,NA,NA,4.5,take care
trennende,-0.9922090597630406,left,1,0,1,9,NA,NA,9,dividing
wirtschaftlfreiheit,-0.9922007522349664,left,1,0,1,6,NA,NA,6,economic freedom
transaktionssteuer,-0.9921685166858896,left,1,0,1,4,NA,NA,4,transaction tax
angepasste,-0.9921511995851152,left,1,0,1,9,NA,NA,9,customized
solidargemeinschaft,-0.9921510825776774,left,2,0,2,3,NA,NA,3,solidarity community
sozialleistnvert,-0.9921503220293326,left,1,0,1,8,NA,NA,8,social benefits
auskommen,-0.9921290851793962,left,1,0,1,3,NA,NA,3,get along
zentrale,-0.9920929298811576,left,1,0,1,7,NA,NA,7,central
sozialistischen,-0.9920897121766218,left,3,0,3,5.333333333333333,NA,NA,5.333333333333333,socialist
verbessert,-0.9920800590630144,left,1,0,1,4,NA,NA,4,improved
arbeits,-0.9920556630122612,left,1,0,1,3,NA,NA,3,work
zwingen,-0.9920496956329402,left,1,0,1,9,NA,NA,9,force
gleichmäßig,-0.9920354207255452,left,1,0,1,11,NA,NA,11,evenly
voraussetzung,-0.9920347186809192,left,2,0,2,3.5,NA,NA,3.5,requirement
abkehr,-0.9920262941454072,left,2,0,2,7,NA,NA,7,departure
moderne,-0.9920255335970622,left,4,0,4,3,NA,NA,3,modern
interessensausgleich,-0.9920234274631844,left,1,0,1,2,NA,NA,2,balancing of interests
bürgerbeteiligungmitbestimmung,-0.9920199757437732,left,1,0,1,1,NA,NA,1,citizen participation and co-determination
berücksichtigen,-0.9920186886619587,left,1,0,1,6,NA,NA,6,take into account
bestimmung,-0.9919996164496194,left,2,0,2,8.5,NA,NA,8.5,determination
handlungsfreiheit,-0.99199557969302,left,1,0,1,3,NA,NA,3,freedom of action
wohlstandsverteilung,-0.9919893782988236,left,2,0,2,6,NA,NA,6,wealth distribution
gesellschaftsordnung,-0.9919776775550572,left,2,0,2,1,NA,NA,1,social order
legitimation,-0.991966912870792,left,1,0,1,7,NA,NA,7,legitimation
besitzen,-0.9919667373596354,left,1,0,1,7,NA,NA,7,own
gleichberecht,-0.9919666203521976,left,1,0,1,3,NA,NA,3,equal rights
basiert,-0.9919256677490148,left,1,0,1,2,NA,NA,2,based
öffnung,-0.9919180622655666,left,3,0,3,5.333333333333333,NA,NA,5.333333333333333,opening
umverteilerung,-0.9919070050627072,left,1,0,1,2,NA,NA,2,redistribution
vereinbar,-0.9918960063635666,left,1,0,1,3,NA,NA,3,compatible
verwendung,-0.991893022673906,left,1,0,1,7,NA,NA,7,use
angemessen,-0.9918913845697788,left,2,0,2,2,NA,NA,2,appropriate
pauschale,-0.9918677490673704,left,1,0,1,7,NA,NA,7,flat rate
gesamten,-0.991866813007869,left,2,0,2,4,NA,NA,4,entire
gleichheits,-0.9918659939558052,left,1,0,1,3,NA,NA,3,equality
sicherungssysteme,-0.9918557558050096,left,3,0,3,3.3333333333333335,NA,NA,3.3333333333333335,security systems
ausgeglichenheit,-0.9918544687231952,left,1,0,1,3,NA,NA,3,balance
wissenschaftlichkeit,-0.9918438795500866,left,1,0,1,1,NA,NA,1,scientificity
inklusivität,-0.9918389067339858,left,1,0,1,3,NA,NA,3,inclusivity
prozess,-0.9918368591038266,left,1,0,1,5,NA,NA,5,process
anarchie,-0.9918283760645958,left,5,0,5,8,NA,NA,8,anarchy
messen,-0.9918246903303094,left,1,0,1,3,NA,NA,3,measure
umvertielung,-0.9918029854506224,left,1,0,1,1,NA,NA,1,redistribution
erweitern,-0.9917890030618214,left,1,0,1,2,NA,NA,2,expand
mitglieder,-0.9917872479502564,left,2,0,2,3,NA,NA,3,members
nahezu,-0.9917756642139276,left,1,0,1,8,NA,NA,8,almost
abhängigkeit,-0.9917698723457632,left,1,0,1,4,NA,NA,4,dependence
überprüfung,-0.991745768813604,left,1,0,1,8,NA,NA,8,examination
glob,-0.991744657242946,left,2,0,2,3,NA,NA,3,glob
aufklärung,-0.9917353551516518,left,1,0,1,3,NA,NA,3,enlightenment
leistungsträgern,-0.9917204367033494,left,2,0,2,8.5,NA,NA,8.5,top performers
beseitigen,-0.991720202688474,left,2,0,2,4,NA,NA,4,eliminate
änderung,-0.9917060447885164,left,1,0,1,3,NA,NA,3,the change
gleichwertigkeit,-0.991689137213774,left,3,0,3,1.6666666666666667,NA,NA,1.6666666666666667,equivalence
staatsquote,-0.9916886691840232,left,8,0,8,5.625,NA,NA,5.625,government share
sämtliche,-0.991687031079896,left,1,0,1,8,NA,NA,8,all
kologie,-0.991679016070416,left,1,0,1,3,NA,NA,3,ecology
lebensentscheidungen,-0.9916739847505962,left,1,0,1,2,NA,NA,2,life decisions
vorteilen,-0.9916676078452434,left,1,0,1,3,NA,NA,3,advantages
leistungslose,-0.9916389410230154,left,1,0,1,6,NA,NA,6,unproductive
arbeitslosigkeit,-0.9916262457160286,left,1,0,1,2,NA,NA,2,unemployment
beitragsjahre,-0.9915998605388352,left,1,0,1,3,NA,NA,3,contribution years
egalisierung,-0.9915901489215088,left,1,0,1,7,NA,NA,7,equalization
hinwendung,-0.9915717787537952,left,1,0,1,2,NA,NA,2,devotion
instabilität,-0.9915699651385116,left,1,0,1,8,NA,NA,8,instability
deutschlandabschaffung,-0.9915620671364692,left,1,0,1,11,NA,NA,11,abolition of Germany
erweiterten,-0.9915608385583736,left,1,0,1,4,NA,NA,4,extended
geprägte,-0.9915455105840396,left,1,0,1,6,NA,NA,6,embossed
vermögensumverteilung,-0.991544633028257,left,1,0,1,9,NA,NA,9,wealth redistribution
bürgergesellschaft,-0.9915336343291165,left,1,0,1,6,NA,NA,6,civil society
ausländische,-0.991526789394013,left,1,0,1,7,NA,NA,7,foreign
verbesserte,-0.991526730890294,left,1,0,1,3,NA,NA,3,improved
zuständen,-0.9915167267543736,left,1,0,1,2,NA,NA,2,conditions
beendigung,-0.9915036219213552,left,1,0,1,2,NA,NA,2,termination
undankbarkeit,-0.9915003457131004,left,1,0,1,6,NA,NA,6,ingratitude
zwecke,-0.9914846082127344,left,2,0,2,4.5,NA,NA,4.5,purposes
dsozsicherungssysteme,-0.9914792843743208,left,1,0,1,8,NA,NA,8,social security systems
transportiert,-0.9914669400896472,left,1,0,1,7,NA,NA,7,transported
verändern,-0.991466589067334,left,3,0,3,4.666666666666667,NA,NA,4.666666666666667,change
wirtschaftsbeschränkung,-0.991461382236358,left,1,0,1,5,NA,NA,5,economic restriction
höheren,-0.9914605046805754,left,1,0,1,6,NA,NA,6,higher
dfürsorge,-0.9914383902748568,left,1,0,1,6,NA,NA,6,care
ergänzen,-0.9914245248934932,left,1,0,1,3,NA,NA,3,add to
abbauende,-0.9914045751253712,left,1,0,1,2,NA,NA,2,degrading
kollektive,-0.9913966771233288,left,3,0,3,5.333333333333333,NA,NA,5.333333333333333,collective
angestrebten,-0.991390007699382,left,1,0,1,2,NA,NA,2,desired
leitlinie,-0.9913758497994244,left,1,0,1,4,NA,NA,4,guideline
mittlere,-0.9913712280056366,left,1,0,1,2,NA,NA,2,middle
anpassung,-0.9913711695019178,left,1,0,1,3,NA,NA,3,adjustment
erlangen,-0.9913688878568834,left,1,0,1,2,NA,NA,2,achieve
beginnen,-0.9913633300035942,left,1,0,1,6,NA,NA,6,start
entziehen,-0.9913363597892124,left,1,0,1,8,NA,NA,8,withdraw
abhängigkeiten,-0.991334721685085,left,1,0,1,9,NA,NA,9,dependencies
mechanismen,-0.9913230794450372,left,1,0,1,5,NA,NA,5,mechanisms
altern,-0.9913220848818172,left,2,0,2,2,NA,NA,2,aging
vorausschauende,-0.991317521591748,left,1,0,1,5,NA,NA,5,forward-looking
zunkunft,-0.9913134848351488,left,1,0,1,2,NA,NA,2,future
staatssystems,-0.9912992099277536,left,1,0,1,8,NA,NA,8,state system
schuldenunion,-0.9912950561637164,left,1,0,1,8,NA,NA,8,debt union
erfahrung,-0.9912782070926924,left,1,0,1,6,NA,NA,6,experience
besteuuerung,-0.9912686709865228,left,1,0,1,2,NA,NA,2,taxation
orientierten,-0.9912600709398544,left,2,0,2,4.5,NA,NA,4.5,oriented
durchgesetzt,-0.9912595444063848,left,1,0,1,5,NA,NA,5,enforced
moralisierung,-0.9912487797221196,left,1,0,1,6,NA,NA,6,moralization
interdependenzen,-0.991248311692369,left,1,0,1,3,NA,NA,3,interdependencies
ausgleich,-0.9912439239134564,left,43,0,43,2.9302325581395348,NA,NA,2.9302325581395348,compensation
ausgaben,-0.9912397116457006,left,3,0,3,5.666666666666667,NA,NA,5.666666666666667,expenditure
selbstständig,-0.9912362599262896,left,1,0,1,9,NA,NA,9,self-employed
konstitution,-0.9912356748891012,left,1,0,1,9,NA,NA,9,constitution
platz,-0.9912215169891436,left,1,0,1,6,NA,NA,6,place
gesundheit,-0.9912213414779872,left,1,0,1,4,NA,NA,4,health
unteren,-0.9912200543961728,left,1,0,1,5,NA,NA,5,lower
