...1,id_new,party_cand,lr_self,year,ost,left_desc,right_desc,left_words
10,11,DIE LINKE,2,2013,1,soziale gerechtigkeit friedliche konfliktlösungendh auch ablehnung jeglicher kriegseinsätze sozialökologischer umbau der gesellschaft,deutschnational ausländerfeindlich antisemitisch,gerechtigkeit
10,11,DIE LINKE,2,2013,1,soziale gerechtigkeit friedliche konfliktlösungendh auch ablehnung jeglicher kriegseinsätze sozialökologischer umbau der gesellschaft,deutschnational ausländerfeindlich antisemitisch,ablehnung
10,11,DIE LINKE,2,2013,1,soziale gerechtigkeit friedliche konfliktlösungendh auch ablehnung jeglicher kriegseinsätze sozialökologischer umbau der gesellschaft,deutschnational ausländerfeindlich antisemitisch,gesellschaft
11,12,PIRATEN,1,2013,1,sozialpolit maßnahmen armutsbekämpfung soziale gerechtigkeit für alle bürgerbeteiligungmitbestimmung reiche kapital besteuern,nationalismus faschismus ausländerfeindlichkeit ausgrenzung populistischer einheitsbrei,sozial
11,12,PIRATEN,1,2013,1,sozialpolit maßnahmen armutsbekämpfung soziale gerechtigkeit für alle bürgerbeteiligungmitbestimmung reiche kapital besteuern,nationalismus faschismus ausländerfeindlichkeit ausgrenzung populistischer einheitsbrei,gerechtigkeit
11,12,PIRATEN,1,2013,1,sozialpolit maßnahmen armutsbekämpfung soziale gerechtigkeit für alle bürgerbeteiligungmitbestimmung reiche kapital besteuern,nationalismus faschismus ausländerfeindlichkeit ausgrenzung populistischer einheitsbrei,reich
11,12,PIRATEN,1,2013,1,sozialpolit maßnahmen armutsbekämpfung soziale gerechtigkeit für alle bürgerbeteiligungmitbestimmung reiche kapital besteuern,nationalismus faschismus ausländerfeindlichkeit ausgrenzung populistischer einheitsbrei,kapital
12,13,CDU,6,2013,1,kommunistische verteilung des vermögens,zentralistische entscheidung einzelner,verteilung
13,14,PIRATEN,3,2013,1,solidarität weltoffenheit verantwortungsgefühl toleranz,nationalismus protektionismus sanktions und verbotspolitik sicherheitsfokussierung konformität,solidarität
13,14,PIRATEN,3,2013,1,solidarität weltoffenheit verantwortungsgefühl toleranz,nationalismus protektionismus sanktions und verbotspolitik sicherheitsfokussierung konformität,weltoffenheit
13,14,PIRATEN,3,2013,1,solidarität weltoffenheit verantwortungsgefühl toleranz,nationalismus protektionismus sanktions und verbotspolitik sicherheitsfokussierung konformität,toleranz
14,15,SPD,3,2013,1,soziale marktwirtschaft,marktwirtschaft,sozial
14,15,SPD,3,2013,1,soziale marktwirtschaft,marktwirtschaft,marktwirtschaft
15,16,DIE LINKE,1,2013,1,sozial,rassistisch nationalistisch diskriminierend,sozial
16,17,FDP,6,2013,1,absolute staatswirtschaft gleichmacherei,freiheit des bürgers eigenverantwortliches handeln,gleichmacherei
17,18,PIRATEN,8,2013,1,"wünschdirwaswelt
umverteilung
wunsch  wirklichkeit diskrepanz
gutmenschentum
keine ahnung von wirtschaft aber anderer geld ausgeben
bin weder links noch rechts sondern liberal und vorne","falls ökonomisch liberal wirtschafts und wohlstandsfördernd

nachhaltiges wachstum

bewahrung des status quo

falls sehr rechts schlechtes wie nazis menschenverachtung religiöser fanatismus fremdenfeindlichkeit intoleranz und so

bi",umverteilung
17,18,PIRATEN,8,2013,1,"wünschdirwaswelt
umverteilung
wunsch  wirklichkeit diskrepanz
gutmenschentum
keine ahnung von wirtschaft aber anderer geld ausgeben
bin weder links noch rechts sondern liberal und vorne","falls ökonomisch liberal wirtschafts und wohlstandsfördernd

nachhaltiges wachstum

bewahrung des status quo

falls sehr rechts schlechtes wie nazis menschenverachtung religiöser fanatismus fremdenfeindlichkeit intoleranz und so

bi",wirtschaft
17,18,PIRATEN,8,2013,1,"wünschdirwaswelt
umverteilung
wunsch  wirklichkeit diskrepanz
gutmenschentum
keine ahnung von wirtschaft aber anderer geld ausgeben
bin weder links noch rechts sondern liberal und vorne","falls ökonomisch liberal wirtschafts und wohlstandsfördernd

nachhaltiges wachstum

bewahrung des status quo

falls sehr rechts schlechtes wie nazis menschenverachtung religiöser fanatismus fremdenfeindlichkeit intoleranz und so

bi",geld
17,18,PIRATEN,8,2013,1,"wünschdirwaswelt
umverteilung
wunsch  wirklichkeit diskrepanz
gutmenschentum
keine ahnung von wirtschaft aber anderer geld ausgeben
bin weder links noch rechts sondern liberal und vorne","falls ökonomisch liberal wirtschafts und wohlstandsfördernd

nachhaltiges wachstum

bewahrung des status quo

falls sehr rechts schlechtes wie nazis menschenverachtung religiöser fanatismus fremdenfeindlichkeit intoleranz und so

bi",links
17,18,PIRATEN,8,2013,1,"wünschdirwaswelt
umverteilung
wunsch  wirklichkeit diskrepanz
gutmenschentum
keine ahnung von wirtschaft aber anderer geld ausgeben
bin weder links noch rechts sondern liberal und vorne","falls ökonomisch liberal wirtschafts und wohlstandsfördernd

nachhaltiges wachstum

bewahrung des status quo

falls sehr rechts schlechtes wie nazis menschenverachtung religiöser fanatismus fremdenfeindlichkeit intoleranz und so

bi",liberal
18,19,DIE LINKE,6,2013,1,soziale gerechtigkeit  demokratie,autoritär  diktatur,sozial
18,19,DIE LINKE,6,2013,1,soziale gerechtigkeit  demokratie,autoritär  diktatur,gerechtigkeit
18,19,DIE LINKE,6,2013,1,soziale gerechtigkeit  demokratie,autoritär  diktatur,demokratie
19,20,CDU,9,2013,1,gleichmacherei schulden machen umverteilen,konservativ werteorientiert traditionell,gleichmacherei
19,20,CDU,9,2013,1,gleichmacherei schulden machen umverteilen,konservativ werteorientiert traditionell,schulden
20,21,DIE LINKE,2,2013,1,soziale frage wie entsteht reichtum und wer eignet sich ihn an,sicherung von privilegien u ungerechtigkeiten unter dem deckmantel von freiheit und tradition,sozial
20,21,DIE LINKE,2,2013,1,soziale frage wie entsteht reichtum und wer eignet sich ihn an,sicherung von privilegien u ungerechtigkeiten unter dem deckmantel von freiheit und tradition,reichtum
21,22,PIRATEN,5,2013,1,in denkschemas des  jhts gefangen beim arbeitbegriff konservativ  oft gegen bge primat der politikgesellschaft pro verschuldung unseriöse finanzpolitik,konservativ opportunistisch neuem skeptisch gegenüber primat der wirtschaft pro finanzkapitalismus,konservativ
22,23,GRUENE,3,2013,1,gerechte gesellschaft progressive einstellung zu gesellschaftlicher entwicklung,einfluss der wirtschaft zu groß gesellschaftlichen entwicklungen nicht aufgeschlossen,gerecht
22,23,GRUENE,3,2013,1,gerechte gesellschaft progressive einstellung zu gesellschaftlicher entwicklung,einfluss der wirtschaft zu groß gesellschaftlichen entwicklungen nicht aufgeschlossen,gesellschaft
22,23,GRUENE,3,2013,1,gerechte gesellschaft progressive einstellung zu gesellschaftlicher entwicklung,einfluss der wirtschaft zu groß gesellschaftlichen entwicklungen nicht aufgeschlossen,progressiv
23,24,GRUENE,3,2013,1,staat soll verantwortung für bürgerinnen übernehmen,bürgerinnen sind sich selbst gegenüber verantwortlich,staat
23,24,GRUENE,3,2013,1,staat soll verantwortung für bürgerinnen übernehmen,bürgerinnen sind sich selbst gegenüber verantwortlich,verantwortung
24,25,PIRATEN,2,2013,1,sozial für die menschen  fokus liberal,populistisch ausländerfeindlich rassistisch,sozial
24,25,PIRATEN,2,2013,1,sozial für die menschen  fokus liberal,populistisch ausländerfeindlich rassistisch,mensch
24,25,PIRATEN,2,2013,1,sozial für die menschen  fokus liberal,populistisch ausländerfeindlich rassistisch,liberal
25,26,GRUENE,NA,2013,1,ich finde beide begriffe völlig unnötig um politik zu beschreiben,NA,politik
26,27,SPD,4,2013,1,sozial menschenfreundlich alternativ eher libertär wohlfahrtsorientiert,konservativ national orientiert privatwirtschaftlich orientiert,sozial
27,28,CDU,8,2013,1,staat sorgt für alles gleichheit vor freiheit sozialpolitik hat priorität,bürger werden befähigt für sich zu sorgen freiheit vor gleichheit arbeitsplätzewirtschaft haben priorität,staat
27,28,CDU,8,2013,1,staat sorgt für alles gleichheit vor freiheit sozialpolitik hat priorität,bürger werden befähigt für sich zu sorgen freiheit vor gleichheit arbeitsplätzewirtschaft haben priorität,gleichheit
27,28,CDU,8,2013,1,staat sorgt für alles gleichheit vor freiheit sozialpolitik hat priorität,bürger werden befähigt für sich zu sorgen freiheit vor gleichheit arbeitsplätzewirtschaft haben priorität,freiheit
27,28,CDU,8,2013,1,staat sorgt für alles gleichheit vor freiheit sozialpolitik hat priorität,bürger werden befähigt für sich zu sorgen freiheit vor gleichheit arbeitsplätzewirtschaft haben priorität,sozialpolitik
28,29,DIE LINKE,2,2013,1,ein auf sozialen ausgleich geprägtes demokratieverständnis mit starken humanistischen wurzeln,starker nationalistischer bis rassistischer hintergurnd lösungsansätze gelten oft nur für besimmte gruppe,sozial
28,29,DIE LINKE,2,2013,1,ein auf sozialen ausgleich geprägtes demokratieverständnis mit starken humanistischen wurzeln,starker nationalistischer bis rassistischer hintergurnd lösungsansätze gelten oft nur für besimmte gruppe,ausgleich
28,29,DIE LINKE,2,2013,1,ein auf sozialen ausgleich geprägtes demokratieverständnis mit starken humanistischen wurzeln,starker nationalistischer bis rassistischer hintergurnd lösungsansätze gelten oft nur für besimmte gruppe,stark
29,30,FDP,6,2013,1,"realitätsferne
kein ordentlicher umgang mit geld
populismus
ängste schüren
demokratiefeindliche tendenzentolranz einfordernd aber hass gegen andere politische auffassungen","ausländerfeindlichkeit
ängste schüren
populismus
realitätsferne
demokratiefeindlich",geld
29,30,FDP,6,2013,1,"realitätsferne
kein ordentlicher umgang mit geld
populismus
ängste schüren
demokratiefeindliche tendenzentolranz einfordernd aber hass gegen andere politische auffassungen","ausländerfeindlichkeit
ängste schüren
populismus
realitätsferne
demokratiefeindlich",populismus
29,30,FDP,6,2013,1,"realitätsferne
kein ordentlicher umgang mit geld
populismus
ängste schüren
demokratiefeindliche tendenzentolranz einfordernd aber hass gegen andere politische auffassungen","ausländerfeindlichkeit
ängste schüren
populismus
realitätsferne
demokratiefeindlich",hass
29,30,FDP,6,2013,1,"realitätsferne
kein ordentlicher umgang mit geld
populismus
ängste schüren
demokratiefeindliche tendenzentolranz einfordernd aber hass gegen andere politische auffassungen","ausländerfeindlichkeit
ängste schüren
populismus
realitätsferne
demokratiefeindlich",politisch
30,31,GRUENE,4,2013,1,das wohlergehen der menschen und die lebensqualität stehen im mittelpunkt die wirtschaft dient diesem ziel,bestimmte interessensgruppen versuchen sich zum eigenen vorteil gegenüber anderen abzugrenzen und diese position zu behaupten,mensch
30,31,GRUENE,4,2013,1,das wohlergehen der menschen und die lebensqualität stehen im mittelpunkt die wirtschaft dient diesem ziel,bestimmte interessensgruppen versuchen sich zum eigenen vorteil gegenüber anderen abzugrenzen und diese position zu behaupten,mittelpunkt
30,31,GRUENE,4,2013,1,das wohlergehen der menschen und die lebensqualität stehen im mittelpunkt die wirtschaft dient diesem ziel,bestimmte interessensgruppen versuchen sich zum eigenen vorteil gegenüber anderen abzugrenzen und diese position zu behaupten,wirtschaft
30,31,GRUENE,4,2013,1,das wohlergehen der menschen und die lebensqualität stehen im mittelpunkt die wirtschaft dient diesem ziel,bestimmte interessensgruppen versuchen sich zum eigenen vorteil gegenüber anderen abzugrenzen und diese position zu behaupten,ziel
31,32,GRUENE,5,2013,1,gerecht sozial ausgewogen umwelt schützend tolerant,soziale schieflage intolerant wachstumswahn ungerecht,gerecht
31,32,GRUENE,5,2013,1,gerecht sozial ausgewogen umwelt schützend tolerant,soziale schieflage intolerant wachstumswahn ungerecht,sozial
31,32,GRUENE,5,2013,1,gerecht sozial ausgewogen umwelt schützend tolerant,soziale schieflage intolerant wachstumswahn ungerecht,umwelt
31,32,GRUENE,5,2013,1,gerecht sozial ausgewogen umwelt schützend tolerant,soziale schieflage intolerant wachstumswahn ungerecht,tolerant
32,33,PIRATEN,3,2013,1,sozial,neoliberal nationalistisch,sozial
33,34,PIRATEN,4,2013,1,"sozial
gleichberechtigung
vielfalt
toleranz
freiheitlich","konservativ
nationalistisch
rasstisch
sexistisch
exklusion",sozial
33,34,PIRATEN,4,2013,1,"sozial
gleichberechtigung
vielfalt
toleranz
freiheitlich","konservativ
nationalistisch
rasstisch
sexistisch
exklusion",gleichberechtigung
33,34,PIRATEN,4,2013,1,"sozial
gleichberechtigung
vielfalt
toleranz
freiheitlich","konservativ
nationalistisch
rasstisch
sexistisch
exklusion",vielfalt
33,34,PIRATEN,4,2013,1,"sozial
gleichberechtigung
vielfalt
toleranz
freiheitlich","konservativ
nationalistisch
rasstisch
sexistisch
exklusion",toleranz
33,34,PIRATEN,4,2013,1,"sozial
gleichberechtigung
vielfalt
toleranz
freiheitlich","konservativ
nationalistisch
rasstisch
sexistisch
exklusion",freiheitlich
34,35,GRUENE,4,2013,1,für eine emanzipatorische politik,für einen autoritätsfixierten politikstil,politik
35,36,GRUENE,2,2013,1,bürgerinnenrechte gleichberechtigung umverteilung umweltschutz,neoliberalismus rigide einwanderungspolitik sozialdarwinismus steuersenkungen,gleichberechtigung
35,36,GRUENE,2,2013,1,bürgerinnenrechte gleichberechtigung umverteilung umweltschutz,neoliberalismus rigide einwanderungspolitik sozialdarwinismus steuersenkungen,umverteilung
35,36,GRUENE,2,2013,1,bürgerinnenrechte gleichberechtigung umverteilung umweltschutz,neoliberalismus rigide einwanderungspolitik sozialdarwinismus steuersenkungen,umweltschutz
36,37,DIE LINKE,3,2013,1,friedliche konfliktlösung solidarischer ausgleich wissenszugang für alle chancengleichheit demokratische entscheidungsprozesse umfass bürgerrechte sozialökologische wirtschaftsentwicklung,wachstumsorientiert unter  nicht lesbar wirtschafts und finanzwelt ausgrenzung von menschengrippen sozial migranten gewalt und kriegsbereitschaft elitärer gesell ansatz intransparenz von enetscheidungen sicherung von herrschafts,ausgleich
36,37,DIE LINKE,3,2013,1,friedliche konfliktlösung solidarischer ausgleich wissenszugang für alle chancengleichheit demokratische entscheidungsprozesse umfass bürgerrechte sozialökologische wirtschaftsentwicklung,wachstumsorientiert unter  nicht lesbar wirtschafts und finanzwelt ausgrenzung von menschengrippen sozial migranten gewalt und kriegsbereitschaft elitärer gesell ansatz intransparenz von enetscheidungen sicherung von herrschafts,chancengleichheit
36,37,DIE LINKE,3,2013,1,friedliche konfliktlösung solidarischer ausgleich wissenszugang für alle chancengleichheit demokratische entscheidungsprozesse umfass bürgerrechte sozialökologische wirtschaftsentwicklung,wachstumsorientiert unter  nicht lesbar wirtschafts und finanzwelt ausgrenzung von menschengrippen sozial migranten gewalt und kriegsbereitschaft elitärer gesell ansatz intransparenz von enetscheidungen sicherung von herrschafts,bürgerrechte
37,38,SPD,3,2013,1,soziale gerechtigkeit teilhabe inklusion gleichberechtigung weltoffenheit,ausgrenzung verschlossene gesellschaft nationalismus,sozial
37,38,SPD,3,2013,1,soziale gerechtigkeit teilhabe inklusion gleichberechtigung weltoffenheit,ausgrenzung verschlossene gesellschaft nationalismus,gerechtigkeit
37,38,SPD,3,2013,1,soziale gerechtigkeit teilhabe inklusion gleichberechtigung weltoffenheit,ausgrenzung verschlossene gesellschaft nationalismus,teilhabe
37,38,SPD,3,2013,1,soziale gerechtigkeit teilhabe inklusion gleichberechtigung weltoffenheit,ausgrenzung verschlossene gesellschaft nationalismus,gleichberechtigung
37,38,SPD,3,2013,1,soziale gerechtigkeit teilhabe inklusion gleichberechtigung weltoffenheit,ausgrenzung verschlossene gesellschaft nationalismus,weltoffenheit
39,40,AfD,9,2013,1,umverteilung von einkommen,antieurorettungspolitik,umverteilung
40,41,AfD,3,2013,1,für soziale gerechtigkeit   toleranz für ausländer,für die gier der unternehmen   intoleranz für ausländer,sozial
40,41,AfD,3,2013,1,für soziale gerechtigkeit   toleranz für ausländer,für die gier der unternehmen   intoleranz für ausländer,gerechtigkeit
40,41,AfD,3,2013,1,für soziale gerechtigkeit   toleranz für ausländer,für die gier der unternehmen   intoleranz für ausländer,toleranz
41,42,PIRATEN,3,2013,1,"gleichheit der menschen
soziales ist wichtig
umwelt vor wirtschaft
internationale solidarität","konservativ 
nationalstaatlich orientiert
wirtschaftsinteressen vor umwelt",gleichheit
41,42,PIRATEN,3,2013,1,"gleichheit der menschen
soziales ist wichtig
umwelt vor wirtschaft
internationale solidarität","konservativ 
nationalstaatlich orientiert
wirtschaftsinteressen vor umwelt",mensch
41,42,PIRATEN,3,2013,1,"gleichheit der menschen
soziales ist wichtig
umwelt vor wirtschaft
internationale solidarität","konservativ 
nationalstaatlich orientiert
wirtschaftsinteressen vor umwelt",sozial
41,42,PIRATEN,3,2013,1,"gleichheit der menschen
soziales ist wichtig
umwelt vor wirtschaft
internationale solidarität","konservativ 
nationalstaatlich orientiert
wirtschaftsinteressen vor umwelt",umwelt
41,42,PIRATEN,3,2013,1,"gleichheit der menschen
soziales ist wichtig
umwelt vor wirtschaft
internationale solidarität","konservativ 
nationalstaatlich orientiert
wirtschaftsinteressen vor umwelt",wirtschaft
41,42,PIRATEN,3,2013,1,"gleichheit der menschen
soziales ist wichtig
umwelt vor wirtschaft
internationale solidarität","konservativ 
nationalstaatlich orientiert
wirtschaftsinteressen vor umwelt",international
41,42,PIRATEN,3,2013,1,"gleichheit der menschen
soziales ist wichtig
umwelt vor wirtschaft
internationale solidarität","konservativ 
nationalstaatlich orientiert
wirtschaftsinteressen vor umwelt",solidarität
42,43,GRUENE,3,2013,1,flexibel weltoffen zukunftsgewandt kreativ,statusquodenken eher auf das nationale schauend zu wirtschaftsfreundlich zu sehr dem leistungsprinzip unterstellt,weltoffen
43,44,CDU,5,2013,1,zu sozial abgreifen von fördermitteln ohne rücksicht auf eigene anteile mehr nehmen als geben im extrem abkehr vom staat,nationalistisch isd ns diktatur keine achtung vor demokratie kein demokratieverständnis,sozial
43,44,CDU,5,2013,1,zu sozial abgreifen von fördermitteln ohne rücksicht auf eigene anteile mehr nehmen als geben im extrem abkehr vom staat,nationalistisch isd ns diktatur keine achtung vor demokratie kein demokratieverständnis,rücksicht
43,44,CDU,5,2013,1,zu sozial abgreifen von fördermitteln ohne rücksicht auf eigene anteile mehr nehmen als geben im extrem abkehr vom staat,nationalistisch isd ns diktatur keine achtung vor demokratie kein demokratieverständnis,eigene
43,44,CDU,5,2013,1,zu sozial abgreifen von fördermitteln ohne rücksicht auf eigene anteile mehr nehmen als geben im extrem abkehr vom staat,nationalistisch isd ns diktatur keine achtung vor demokratie kein demokratieverständnis,extrem
43,44,CDU,5,2013,1,zu sozial abgreifen von fördermitteln ohne rücksicht auf eigene anteile mehr nehmen als geben im extrem abkehr vom staat,nationalistisch isd ns diktatur keine achtung vor demokratie kein demokratieverständnis,staat
44,45,DIE LINKE,2,2013,1,soziale gerechtigkeit demokratische teilhabe frieden interkulturell,rassistisch undemokratisch menschenverachtend,sozial
44,45,DIE LINKE,2,2013,1,soziale gerechtigkeit demokratische teilhabe frieden interkulturell,rassistisch undemokratisch menschenverachtend,gerechtigkeit
44,45,DIE LINKE,2,2013,1,soziale gerechtigkeit demokratische teilhabe frieden interkulturell,rassistisch undemokratisch menschenverachtend,teilhabe
44,45,DIE LINKE,2,2013,1,soziale gerechtigkeit demokratische teilhabe frieden interkulturell,rassistisch undemokratisch menschenverachtend,frieden
45,46,AfD,6,2013,1,"genderwahn
unisex
umverteilung",jeder der sich kritisch äußert hinsichtlich eu zuwanderung grenzkriminalität,umverteilung
46,47,FDP,6,2013,1,der staat regelt alles finanziert alles die verantwortung des einzelnen wird auf den staat übertragen überdimensionierte sozialpolitik unabhängig von der finanzierbarkeit,gegen europa gegen ausländer,staat
46,47,FDP,6,2013,1,der staat regelt alles finanziert alles die verantwortung des einzelnen wird auf den staat übertragen überdimensionierte sozialpolitik unabhängig von der finanzierbarkeit,gegen europa gegen ausländer,verantwortung
46,47,FDP,6,2013,1,der staat regelt alles finanziert alles die verantwortung des einzelnen wird auf den staat übertragen überdimensionierte sozialpolitik unabhängig von der finanzierbarkeit,gegen europa gegen ausländer,einzelnen
46,47,FDP,6,2013,1,der staat regelt alles finanziert alles die verantwortung des einzelnen wird auf den staat übertragen überdimensionierte sozialpolitik unabhängig von der finanzierbarkeit,gegen europa gegen ausländer,staat
46,47,FDP,6,2013,1,der staat regelt alles finanziert alles die verantwortung des einzelnen wird auf den staat übertragen überdimensionierte sozialpolitik unabhängig von der finanzierbarkeit,gegen europa gegen ausländer,sozialpolitik
46,47,FDP,6,2013,1,der staat regelt alles finanziert alles die verantwortung des einzelnen wird auf den staat übertragen überdimensionierte sozialpolitik unabhängig von der finanzierbarkeit,gegen europa gegen ausländer,unabhängig
47,48,FDP,7,2013,1,umverteilung,konservativismus,umverteilung
48,49,PIRATEN,2,2013,1,sozial,ungleiches wertendes menschenbild,sozial
49,50,FDP,6,2013,1,mehr staat und weniger eigenverantwortung,mehr eigenverantwortung und weniger staat,staat
49,50,FDP,6,2013,1,mehr staat und weniger eigenverantwortung,mehr eigenverantwortung und weniger staat,eigenverantwortung
50,51,GRUENE,6,2013,1,arbeitnehmer eher unvermögend  f kulturelle vielfalt  solidarisch sein v allem den schwächeren d gesellschaft helfen,arbeitgeber vermögend  die nationalstaatliche seite betonend  unternehmertum unterstützen und fördern und rückenfreihalten,vielfalt
50,51,GRUENE,6,2013,1,arbeitnehmer eher unvermögend  f kulturelle vielfalt  solidarisch sein v allem den schwächeren d gesellschaft helfen,arbeitgeber vermögend  die nationalstaatliche seite betonend  unternehmertum unterstützen und fördern und rückenfreihalten,solidarität
50,51,GRUENE,6,2013,1,arbeitnehmer eher unvermögend  f kulturelle vielfalt  solidarisch sein v allem den schwächeren d gesellschaft helfen,arbeitgeber vermögend  die nationalstaatliche seite betonend  unternehmertum unterstützen und fördern und rückenfreihalten,gesellschaft
51,52,FDP,7,2013,1,"anspruch gerechtigkeit durch nivellierung  umverteilung herbeizuführen 
 vertrauen in staatliche regulierung
 ablehnung materieller ungleichheit auch wenn leistungsbedingt
 ein etwas zu optimistisches menschenbild 
 ganz links auc","klassisch konservatives denken
 latentes unbehagen gegenüber jedweder tiefgreifenden veränderung
 aus sich heraus kaum noch inhaltlich konkret untersetzt eher gegenfolie zu links
 ganz rechts anknüpfen an die nszeit",gerechtigkeit
51,52,FDP,7,2013,1,"anspruch gerechtigkeit durch nivellierung  umverteilung herbeizuführen 
 vertrauen in staatliche regulierung
 ablehnung materieller ungleichheit auch wenn leistungsbedingt
 ein etwas zu optimistisches menschenbild 
 ganz links auc","klassisch konservatives denken
 latentes unbehagen gegenüber jedweder tiefgreifenden veränderung
 aus sich heraus kaum noch inhaltlich konkret untersetzt eher gegenfolie zu links
 ganz rechts anknüpfen an die nszeit",umverteilung
51,52,FDP,7,2013,1,"anspruch gerechtigkeit durch nivellierung  umverteilung herbeizuführen 
 vertrauen in staatliche regulierung
 ablehnung materieller ungleichheit auch wenn leistungsbedingt
 ein etwas zu optimistisches menschenbild 
 ganz links auc","klassisch konservatives denken
 latentes unbehagen gegenüber jedweder tiefgreifenden veränderung
 aus sich heraus kaum noch inhaltlich konkret untersetzt eher gegenfolie zu links
 ganz rechts anknüpfen an die nszeit",staat
51,52,FDP,7,2013,1,"anspruch gerechtigkeit durch nivellierung  umverteilung herbeizuführen 
 vertrauen in staatliche regulierung
 ablehnung materieller ungleichheit auch wenn leistungsbedingt
 ein etwas zu optimistisches menschenbild 
 ganz links auc","klassisch konservatives denken
 latentes unbehagen gegenüber jedweder tiefgreifenden veränderung
 aus sich heraus kaum noch inhaltlich konkret untersetzt eher gegenfolie zu links
 ganz rechts anknüpfen an die nszeit",regulierung
51,52,FDP,7,2013,1,"anspruch gerechtigkeit durch nivellierung  umverteilung herbeizuführen 
 vertrauen in staatliche regulierung
 ablehnung materieller ungleichheit auch wenn leistungsbedingt
 ein etwas zu optimistisches menschenbild 
 ganz links auc","klassisch konservatives denken
 latentes unbehagen gegenüber jedweder tiefgreifenden veränderung
 aus sich heraus kaum noch inhaltlich konkret untersetzt eher gegenfolie zu links
 ganz rechts anknüpfen an die nszeit",ablehnung
51,52,FDP,7,2013,1,"anspruch gerechtigkeit durch nivellierung  umverteilung herbeizuführen 
 vertrauen in staatliche regulierung
 ablehnung materieller ungleichheit auch wenn leistungsbedingt
 ein etwas zu optimistisches menschenbild 
 ganz links auc","klassisch konservatives denken
 latentes unbehagen gegenüber jedweder tiefgreifenden veränderung
 aus sich heraus kaum noch inhaltlich konkret untersetzt eher gegenfolie zu links
 ganz rechts anknüpfen an die nszeit",ungleichheit
