...1,id_new,party_cand,lr_self,year,ost,left_desc,right_desc,right_words
11,12,PIRATEN,1,2013,1,sozialpolit maßnahmen armutsbekämpfung soziale gerechtigkeit für alle bürgerbeteiligungmitbestimmung reiche kapital besteuern,nationalismus faschismus ausländerfeindlichkeit ausgrenzung populistischer einheitsbrei,nationalismus
11,12,PIRATEN,1,2013,1,sozialpolit maßnahmen armutsbekämpfung soziale gerechtigkeit für alle bürgerbeteiligungmitbestimmung reiche kapital besteuern,nationalismus faschismus ausländerfeindlichkeit ausgrenzung populistischer einheitsbrei,faschismus
11,12,PIRATEN,1,2013,1,sozialpolit maßnahmen armutsbekämpfung soziale gerechtigkeit für alle bürgerbeteiligungmitbestimmung reiche kapital besteuern,nationalismus faschismus ausländerfeindlichkeit ausgrenzung populistischer einheitsbrei,ausländerfeindlichkeit
11,12,PIRATEN,1,2013,1,sozialpolit maßnahmen armutsbekämpfung soziale gerechtigkeit für alle bürgerbeteiligungmitbestimmung reiche kapital besteuern,nationalismus faschismus ausländerfeindlichkeit ausgrenzung populistischer einheitsbrei,ausgrenzung
13,14,PIRATEN,3,2013,1,solidarität weltoffenheit verantwortungsgefühl toleranz,nationalismus protektionismus sanktions und verbotspolitik sicherheitsfokussierung konformität,nationalismus
14,15,SPD,3,2013,1,soziale marktwirtschaft,marktwirtschaft,marktwirtschaft
15,16,DIE LINKE,1,2013,1,sozial,rassistisch nationalistisch diskriminierend,rassistisch
15,16,DIE LINKE,1,2013,1,sozial,rassistisch nationalistisch diskriminierend,nationalistisch
16,17,FDP,6,2013,1,absolute staatswirtschaft gleichmacherei,freiheit des bürgers eigenverantwortliches handeln,freiheit
17,18,PIRATEN,8,2013,1,"wünschdirwaswelt
umverteilung
wunsch  wirklichkeit diskrepanz
gutmenschentum
keine ahnung von wirtschaft aber anderer geld ausgeben
bin weder links noch rechts sondern liberal und vorne","falls ökonomisch liberal wirtschafts und wohlstandsfördernd

nachhaltiges wachstum

bewahrung des status quo

falls sehr rechts schlechtes wie nazis menschenverachtung religiöser fanatismus fremdenfeindlichkeit intoleranz und so

bi",liberal
17,18,PIRATEN,8,2013,1,"wünschdirwaswelt
umverteilung
wunsch  wirklichkeit diskrepanz
gutmenschentum
keine ahnung von wirtschaft aber anderer geld ausgeben
bin weder links noch rechts sondern liberal und vorne","falls ökonomisch liberal wirtschafts und wohlstandsfördernd

nachhaltiges wachstum

bewahrung des status quo

falls sehr rechts schlechtes wie nazis menschenverachtung religiöser fanatismus fremdenfeindlichkeit intoleranz und so

bi",bewahrung
17,18,PIRATEN,8,2013,1,"wünschdirwaswelt
umverteilung
wunsch  wirklichkeit diskrepanz
gutmenschentum
keine ahnung von wirtschaft aber anderer geld ausgeben
bin weder links noch rechts sondern liberal und vorne","falls ökonomisch liberal wirtschafts und wohlstandsfördernd

nachhaltiges wachstum

bewahrung des status quo

falls sehr rechts schlechtes wie nazis menschenverachtung religiöser fanatismus fremdenfeindlichkeit intoleranz und so

bi",fremdenfeindlichkeit
17,18,PIRATEN,8,2013,1,"wünschdirwaswelt
umverteilung
wunsch  wirklichkeit diskrepanz
gutmenschentum
keine ahnung von wirtschaft aber anderer geld ausgeben
bin weder links noch rechts sondern liberal und vorne","falls ökonomisch liberal wirtschafts und wohlstandsfördernd

nachhaltiges wachstum

bewahrung des status quo

falls sehr rechts schlechtes wie nazis menschenverachtung religiöser fanatismus fremdenfeindlichkeit intoleranz und so

bi",intoleranz
18,19,DIE LINKE,6,2013,1,soziale gerechtigkeit  demokratie,autoritär  diktatur,autoritär
18,19,DIE LINKE,6,2013,1,soziale gerechtigkeit  demokratie,autoritär  diktatur,diktatur
19,20,CDU,9,2013,1,gleichmacherei schulden machen umverteilen,konservativ werteorientiert traditionell,konservativ
19,20,CDU,9,2013,1,gleichmacherei schulden machen umverteilen,konservativ werteorientiert traditionell,traditionell
20,21,DIE LINKE,2,2013,1,soziale frage wie entsteht reichtum und wer eignet sich ihn an,sicherung von privilegien u ungerechtigkeiten unter dem deckmantel von freiheit und tradition,sicherheit
20,21,DIE LINKE,2,2013,1,soziale frage wie entsteht reichtum und wer eignet sich ihn an,sicherung von privilegien u ungerechtigkeiten unter dem deckmantel von freiheit und tradition,freiheit
20,21,DIE LINKE,2,2013,1,soziale frage wie entsteht reichtum und wer eignet sich ihn an,sicherung von privilegien u ungerechtigkeiten unter dem deckmantel von freiheit und tradition,tradition
21,22,PIRATEN,5,2013,1,in denkschemas des  jhts gefangen beim arbeitbegriff konservativ  oft gegen bge primat der politikgesellschaft pro verschuldung unseriöse finanzpolitik,konservativ opportunistisch neuem skeptisch gegenüber primat der wirtschaft pro finanzkapitalismus,konservativ
21,22,PIRATEN,5,2013,1,in denkschemas des  jhts gefangen beim arbeitbegriff konservativ  oft gegen bge primat der politikgesellschaft pro verschuldung unseriöse finanzpolitik,konservativ opportunistisch neuem skeptisch gegenüber primat der wirtschaft pro finanzkapitalismus,wirtschaft
22,23,GRUENE,3,2013,1,gerechte gesellschaft progressive einstellung zu gesellschaftlicher entwicklung,einfluss der wirtschaft zu groß gesellschaftlichen entwicklungen nicht aufgeschlossen,wirtschaft
22,23,GRUENE,3,2013,1,gerechte gesellschaft progressive einstellung zu gesellschaftlicher entwicklung,einfluss der wirtschaft zu groß gesellschaftlichen entwicklungen nicht aufgeschlossen,gesellschaftlichen
24,25,PIRATEN,2,2013,1,sozial für die menschen  fokus liberal,populistisch ausländerfeindlich rassistisch,populistisch
24,25,PIRATEN,2,2013,1,sozial für die menschen  fokus liberal,populistisch ausländerfeindlich rassistisch,ausländerfeindlich
24,25,PIRATEN,2,2013,1,sozial für die menschen  fokus liberal,populistisch ausländerfeindlich rassistisch,rassistisch
26,27,SPD,4,2013,1,sozial menschenfreundlich alternativ eher libertär wohlfahrtsorientiert,konservativ national orientiert privatwirtschaftlich orientiert,konservativ
26,27,SPD,4,2013,1,sozial menschenfreundlich alternativ eher libertär wohlfahrtsorientiert,konservativ national orientiert privatwirtschaftlich orientiert,national
27,28,CDU,8,2013,1,staat sorgt für alles gleichheit vor freiheit sozialpolitik hat priorität,bürger werden befähigt für sich zu sorgen freiheit vor gleichheit arbeitsplätzewirtschaft haben priorität,bürger
27,28,CDU,8,2013,1,staat sorgt für alles gleichheit vor freiheit sozialpolitik hat priorität,bürger werden befähigt für sich zu sorgen freiheit vor gleichheit arbeitsplätzewirtschaft haben priorität,freiheit
27,28,CDU,8,2013,1,staat sorgt für alles gleichheit vor freiheit sozialpolitik hat priorität,bürger werden befähigt für sich zu sorgen freiheit vor gleichheit arbeitsplätzewirtschaft haben priorität,gleichheit
28,29,DIE LINKE,2,2013,1,ein auf sozialen ausgleich geprägtes demokratieverständnis mit starken humanistischen wurzeln,starker nationalistischer bis rassistischer hintergurnd lösungsansätze gelten oft nur für besimmte gruppe,stark
29,30,FDP,6,2013,1,"realitätsferne
kein ordentlicher umgang mit geld
populismus
ängste schüren
demokratiefeindliche tendenzentolranz einfordernd aber hass gegen andere politische auffassungen","ausländerfeindlichkeit
ängste schüren
populismus
realitätsferne
demokratiefeindlich",ausländerfeindlichkeit
29,30,FDP,6,2013,1,"realitätsferne
kein ordentlicher umgang mit geld
populismus
ängste schüren
demokratiefeindliche tendenzentolranz einfordernd aber hass gegen andere politische auffassungen","ausländerfeindlichkeit
ängste schüren
populismus
realitätsferne
demokratiefeindlich",populismus
30,31,GRUENE,4,2013,1,das wohlergehen der menschen und die lebensqualität stehen im mittelpunkt die wirtschaft dient diesem ziel,bestimmte interessensgruppen versuchen sich zum eigenen vorteil gegenüber anderen abzugrenzen und diese position zu behaupten,eigene
31,32,GRUENE,5,2013,1,gerecht sozial ausgewogen umwelt schützend tolerant,soziale schieflage intolerant wachstumswahn ungerecht,sozial
31,32,GRUENE,5,2013,1,gerecht sozial ausgewogen umwelt schützend tolerant,soziale schieflage intolerant wachstumswahn ungerecht,intolerant
32,33,PIRATEN,3,2013,1,sozial,neoliberal nationalistisch,neoliberal
32,33,PIRATEN,3,2013,1,sozial,neoliberal nationalistisch,nationalistisch
33,34,PIRATEN,4,2013,1,"sozial
gleichberechtigung
vielfalt
toleranz
freiheitlich","konservativ
nationalistisch
rasstisch
sexistisch
exklusion",konservativ
33,34,PIRATEN,4,2013,1,"sozial
gleichberechtigung
vielfalt
toleranz
freiheitlich","konservativ
nationalistisch
rasstisch
sexistisch
exklusion",nationalistisch
36,37,DIE LINKE,3,2013,1,friedliche konfliktlösung solidarischer ausgleich wissenszugang für alle chancengleichheit demokratische entscheidungsprozesse umfass bürgerrechte sozialökologische wirtschaftsentwicklung,wachstumsorientiert unter  nicht lesbar wirtschafts und finanzwelt ausgrenzung von menschengrippen sozial migranten gewalt und kriegsbereitschaft elitärer gesell ansatz intransparenz von enetscheidungen sicherung von herrschafts,ausgrenzung
36,37,DIE LINKE,3,2013,1,friedliche konfliktlösung solidarischer ausgleich wissenszugang für alle chancengleichheit demokratische entscheidungsprozesse umfass bürgerrechte sozialökologische wirtschaftsentwicklung,wachstumsorientiert unter  nicht lesbar wirtschafts und finanzwelt ausgrenzung von menschengrippen sozial migranten gewalt und kriegsbereitschaft elitärer gesell ansatz intransparenz von enetscheidungen sicherung von herrschafts,sozial
36,37,DIE LINKE,3,2013,1,friedliche konfliktlösung solidarischer ausgleich wissenszugang für alle chancengleichheit demokratische entscheidungsprozesse umfass bürgerrechte sozialökologische wirtschaftsentwicklung,wachstumsorientiert unter  nicht lesbar wirtschafts und finanzwelt ausgrenzung von menschengrippen sozial migranten gewalt und kriegsbereitschaft elitärer gesell ansatz intransparenz von enetscheidungen sicherung von herrschafts,gewalt
36,37,DIE LINKE,3,2013,1,friedliche konfliktlösung solidarischer ausgleich wissenszugang für alle chancengleichheit demokratische entscheidungsprozesse umfass bürgerrechte sozialökologische wirtschaftsentwicklung,wachstumsorientiert unter  nicht lesbar wirtschafts und finanzwelt ausgrenzung von menschengrippen sozial migranten gewalt und kriegsbereitschaft elitärer gesell ansatz intransparenz von enetscheidungen sicherung von herrschafts,sicherheit
37,38,SPD,3,2013,1,soziale gerechtigkeit teilhabe inklusion gleichberechtigung weltoffenheit,ausgrenzung verschlossene gesellschaft nationalismus,ausgrenzung
37,38,SPD,3,2013,1,soziale gerechtigkeit teilhabe inklusion gleichberechtigung weltoffenheit,ausgrenzung verschlossene gesellschaft nationalismus,gesellschaft
37,38,SPD,3,2013,1,soziale gerechtigkeit teilhabe inklusion gleichberechtigung weltoffenheit,ausgrenzung verschlossene gesellschaft nationalismus,nationalismus
40,41,AfD,3,2013,1,für soziale gerechtigkeit   toleranz für ausländer,für die gier der unternehmen   intoleranz für ausländer,intoleranz
41,42,PIRATEN,3,2013,1,"gleichheit der menschen
soziales ist wichtig
umwelt vor wirtschaft
internationale solidarität","konservativ 
nationalstaatlich orientiert
wirtschaftsinteressen vor umwelt",konservativ
41,42,PIRATEN,3,2013,1,"gleichheit der menschen
soziales ist wichtig
umwelt vor wirtschaft
internationale solidarität","konservativ 
nationalstaatlich orientiert
wirtschaftsinteressen vor umwelt",umwelt
42,43,GRUENE,3,2013,1,flexibel weltoffen zukunftsgewandt kreativ,statusquodenken eher auf das nationale schauend zu wirtschaftsfreundlich zu sehr dem leistungsprinzip unterstellt,national
42,43,GRUENE,3,2013,1,flexibel weltoffen zukunftsgewandt kreativ,statusquodenken eher auf das nationale schauend zu wirtschaftsfreundlich zu sehr dem leistungsprinzip unterstellt,wirtschaftsfreundlich
42,43,GRUENE,3,2013,1,flexibel weltoffen zukunftsgewandt kreativ,statusquodenken eher auf das nationale schauend zu wirtschaftsfreundlich zu sehr dem leistungsprinzip unterstellt,leistungsprinzip
43,44,CDU,5,2013,1,zu sozial abgreifen von fördermitteln ohne rücksicht auf eigene anteile mehr nehmen als geben im extrem abkehr vom staat,nationalistisch isd ns diktatur keine achtung vor demokratie kein demokratieverständnis,nationalistisch
43,44,CDU,5,2013,1,zu sozial abgreifen von fördermitteln ohne rücksicht auf eigene anteile mehr nehmen als geben im extrem abkehr vom staat,nationalistisch isd ns diktatur keine achtung vor demokratie kein demokratieverständnis,diktatur
43,44,CDU,5,2013,1,zu sozial abgreifen von fördermitteln ohne rücksicht auf eigene anteile mehr nehmen als geben im extrem abkehr vom staat,nationalistisch isd ns diktatur keine achtung vor demokratie kein demokratieverständnis,demokratie
44,45,DIE LINKE,2,2013,1,soziale gerechtigkeit demokratische teilhabe frieden interkulturell,rassistisch undemokratisch menschenverachtend,rassistisch
44,45,DIE LINKE,2,2013,1,soziale gerechtigkeit demokratische teilhabe frieden interkulturell,rassistisch undemokratisch menschenverachtend,menschenverachtend
45,46,AfD,6,2013,1,"genderwahn
unisex
umverteilung",jeder der sich kritisch äußert hinsichtlich eu zuwanderung grenzkriminalität,zuwanderung
46,47,FDP,6,2013,1,der staat regelt alles finanziert alles die verantwortung des einzelnen wird auf den staat übertragen überdimensionierte sozialpolitik unabhängig von der finanzierbarkeit,gegen europa gegen ausländer,europa
47,48,FDP,7,2013,1,umverteilung,konservativismus,konservativismus
48,49,PIRATEN,2,2013,1,sozial,ungleiches wertendes menschenbild,menschenbild
49,50,FDP,6,2013,1,mehr staat und weniger eigenverantwortung,mehr eigenverantwortung und weniger staat,eigenverantwortung
49,50,FDP,6,2013,1,mehr staat und weniger eigenverantwortung,mehr eigenverantwortung und weniger staat,staat
51,52,FDP,7,2013,1,"anspruch gerechtigkeit durch nivellierung  umverteilung herbeizuführen 
 vertrauen in staatliche regulierung
 ablehnung materieller ungleichheit auch wenn leistungsbedingt
 ein etwas zu optimistisches menschenbild 
 ganz links auc","klassisch konservatives denken
 latentes unbehagen gegenüber jedweder tiefgreifenden veränderung
 aus sich heraus kaum noch inhaltlich konkret untersetzt eher gegenfolie zu links
 ganz rechts anknüpfen an die nszeit",konservativ
51,52,FDP,7,2013,1,"anspruch gerechtigkeit durch nivellierung  umverteilung herbeizuführen 
 vertrauen in staatliche regulierung
 ablehnung materieller ungleichheit auch wenn leistungsbedingt
 ein etwas zu optimistisches menschenbild 
 ganz links auc","klassisch konservatives denken
 latentes unbehagen gegenüber jedweder tiefgreifenden veränderung
 aus sich heraus kaum noch inhaltlich konkret untersetzt eher gegenfolie zu links
 ganz rechts anknüpfen an die nszeit",veränderung
51,52,FDP,7,2013,1,"anspruch gerechtigkeit durch nivellierung  umverteilung herbeizuführen 
 vertrauen in staatliche regulierung
 ablehnung materieller ungleichheit auch wenn leistungsbedingt
 ein etwas zu optimistisches menschenbild 
 ganz links auc","klassisch konservatives denken
 latentes unbehagen gegenüber jedweder tiefgreifenden veränderung
 aus sich heraus kaum noch inhaltlich konkret untersetzt eher gegenfolie zu links
 ganz rechts anknüpfen an die nszeit",links
52,53,GRUENE,4,2013,1,soziale gerechtigkeit eingrenzung d freien märkte begrenzung der finanzmärkte energiewende,unbegrenze freiheit der märkte förderung des einzelnen intoleranz gegenüber ausländern,freiheit
52,53,GRUENE,4,2013,1,soziale gerechtigkeit eingrenzung d freien märkte begrenzung der finanzmärkte energiewende,unbegrenze freiheit der märkte förderung des einzelnen intoleranz gegenüber ausländern,einzelnen
52,53,GRUENE,4,2013,1,soziale gerechtigkeit eingrenzung d freien märkte begrenzung der finanzmärkte energiewende,unbegrenze freiheit der märkte förderung des einzelnen intoleranz gegenüber ausländern,intoleranz
53,54,PIRATEN,NA,2013,1,sozial anitfaschistisch ansonsten sehr unscharf definiert,konservativ alt verschlossen rückwärtsgewandt u gegen alles neue negativ eingestellt misstrauen gegen bevölkerung,konservativ
53,54,PIRATEN,NA,2013,1,sozial anitfaschistisch ansonsten sehr unscharf definiert,konservativ alt verschlossen rückwärtsgewandt u gegen alles neue negativ eingestellt misstrauen gegen bevölkerung,rückwärtsgewandt
53,54,PIRATEN,NA,2013,1,sozial anitfaschistisch ansonsten sehr unscharf definiert,konservativ alt verschlossen rückwärtsgewandt u gegen alles neue negativ eingestellt misstrauen gegen bevölkerung,bevölkerung
54,55,AfD,6,2013,1,der staat soll alle persönlichen und gesellschaftlichen probleme lösen,freiheit unabhängigkeit und eigenverantwortung der bürger,freiheit
54,55,AfD,6,2013,1,der staat soll alle persönlichen und gesellschaftlichen probleme lösen,freiheit unabhängigkeit und eigenverantwortung der bürger,eigenverantwortung
54,55,AfD,6,2013,1,der staat soll alle persönlichen und gesellschaftlichen probleme lösen,freiheit unabhängigkeit und eigenverantwortung der bürger,bürger
55,56,GRUENE,6,2013,1,verstaatlichung,eingriff in bürgerrechte,bürgerrechte
56,57,GRUENE,4,2013,1,soziale gerechtigkeit offene lebensweise,intoleranz arroganz ichbezogenes auftreten,intoleranz
57,58,GRUENE,6,2013,1,mensch über alles,wirtschaftshörig profit um jeden preis einschränkung der freiheit des einzelnen,freiheit
57,58,GRUENE,6,2013,1,mensch über alles,wirtschaftshörig profit um jeden preis einschränkung der freiheit des einzelnen,einzelnen
58,59,DIE LINKE,1,2013,1,friedenspolitik soziale gerechtigkeit antifaschismus,privatisierung rassenhetze ausländerdiskriminierung steuersenkungen für reiche,reich
60,61,SPD,4,2013,1,linkspartei die linke,rechtsextremismus ausländerfeindlichkeit,ausländerfeindlichkeit
61,62,PIRATEN,3,2013,1,tolerante soziale weltoffene politik für alle menschen das gemeinwohl im fokus,nationalistische eigentumsorientierte politik für lobbyisten und große unternehmen vor allem kapital und gewinnorientiert menschen werden nur als material gesehen abschottung gegenüber anderen kulturen und einflüssen,politik
61,62,PIRATEN,3,2013,1,tolerante soziale weltoffene politik für alle menschen das gemeinwohl im fokus,nationalistische eigentumsorientierte politik für lobbyisten und große unternehmen vor allem kapital und gewinnorientiert menschen werden nur als material gesehen abschottung gegenüber anderen kulturen und einflüssen,kapital
61,62,PIRATEN,3,2013,1,tolerante soziale weltoffene politik für alle menschen das gemeinwohl im fokus,nationalistische eigentumsorientierte politik für lobbyisten und große unternehmen vor allem kapital und gewinnorientiert menschen werden nur als material gesehen abschottung gegenüber anderen kulturen und einflüssen,mensch
61,62,PIRATEN,3,2013,1,tolerante soziale weltoffene politik für alle menschen das gemeinwohl im fokus,nationalistische eigentumsorientierte politik für lobbyisten und große unternehmen vor allem kapital und gewinnorientiert menschen werden nur als material gesehen abschottung gegenüber anderen kulturen und einflüssen,abschottung
62,63,DIE LINKE,1,2013,1,bedeutet mehr soziale und politische gleichheit mehr mitbestimmungsrechte und linke demokratie ist immer die freiheit der andersdenkenden,"die individuelle freiheit steht vor der gleichheit aller
 rechts kann aber auch durchaus bedeuten ausgrenzung bestimmter bevölkerungsschichten und gewalt gegen politisch andersdenkenden",individuelle
62,63,DIE LINKE,1,2013,1,bedeutet mehr soziale und politische gleichheit mehr mitbestimmungsrechte und linke demokratie ist immer die freiheit der andersdenkenden,"die individuelle freiheit steht vor der gleichheit aller
 rechts kann aber auch durchaus bedeuten ausgrenzung bestimmter bevölkerungsschichten und gewalt gegen politisch andersdenkenden",freiheit
62,63,DIE LINKE,1,2013,1,bedeutet mehr soziale und politische gleichheit mehr mitbestimmungsrechte und linke demokratie ist immer die freiheit der andersdenkenden,"die individuelle freiheit steht vor der gleichheit aller
 rechts kann aber auch durchaus bedeuten ausgrenzung bestimmter bevölkerungsschichten und gewalt gegen politisch andersdenkenden",gleichheit
62,63,DIE LINKE,1,2013,1,bedeutet mehr soziale und politische gleichheit mehr mitbestimmungsrechte und linke demokratie ist immer die freiheit der andersdenkenden,"die individuelle freiheit steht vor der gleichheit aller
 rechts kann aber auch durchaus bedeuten ausgrenzung bestimmter bevölkerungsschichten und gewalt gegen politisch andersdenkenden",ausgrenzung
62,63,DIE LINKE,1,2013,1,bedeutet mehr soziale und politische gleichheit mehr mitbestimmungsrechte und linke demokratie ist immer die freiheit der andersdenkenden,"die individuelle freiheit steht vor der gleichheit aller
 rechts kann aber auch durchaus bedeuten ausgrenzung bestimmter bevölkerungsschichten und gewalt gegen politisch andersdenkenden",gewalt
63,64,GRUENE,5,2013,1,verteilung progressiv,nationalismus konservativ,nationalismus
63,64,GRUENE,5,2013,1,verteilung progressiv,nationalismus konservativ,konservativ
64,65,CDU,6,2013,1,umverteilung sozialistisch gleichmacherei,nation,nation
65,66,PIRATEN,3,2013,1,sozial,kapital,kapital
66,67,FDP,8,2013,1,"staatsgläubigkeit
bevormundung
gleichmacherei","übertriebener nationalismus
fremdenfeidlichkeit
ggf auch frauenfeindlichkeit
intoleranz",nationalismus
66,67,FDP,8,2013,1,"staatsgläubigkeit
bevormundung
gleichmacherei","übertriebener nationalismus
fremdenfeidlichkeit
ggf auch frauenfeindlichkeit
intoleranz",intoleranz
67,68,GRUENE,5,2013,1,weltoffen ökologisch solidarisch aber auch leistungsfeindlich postkommunistisch respektlos,konservativ kleingeistig doppelmoralisch,konservativ
68,69,PIRATEN,3,2013,1,soziale gerechtigkeit,neoliberalismus derzeitige politik,politik
69,70,SPD,5,2013,1,weltoffen und gleichberechtigt aufgeschlossen für neue ideen sozial gerecht und solidarisch,konservativ traditionsverhaftet kritisch gegenüber veränderungen und anderssein,konservativ
69,70,SPD,5,2013,1,weltoffen und gleichberechtigt aufgeschlossen für neue ideen sozial gerecht und solidarisch,konservativ traditionsverhaftet kritisch gegenüber veränderungen und anderssein,veränderung
71,72,PIRATEN,4,2013,0,gleichstellung von lebenspartnerschaften  geschlechtern soziale gerechtigkeit solidarität europäisch,ablehnung gleichgeschlechtliche ehe strengere einwanderungsregeln ablehnung der eu marktliberalismus,ablehnung
71,72,PIRATEN,4,2013,0,gleichstellung von lebenspartnerschaften  geschlechtern soziale gerechtigkeit solidarität europäisch,ablehnung gleichgeschlechtliche ehe strengere einwanderungsregeln ablehnung der eu marktliberalismus,ehe
71,72,PIRATEN,4,2013,0,gleichstellung von lebenspartnerschaften  geschlechtern soziale gerechtigkeit solidarität europäisch,ablehnung gleichgeschlechtliche ehe strengere einwanderungsregeln ablehnung der eu marktliberalismus,ablehnung
72,73,GRUENE,3,2013,0,"sozial
freiheitlich
gerecht","konservativ
national
neoliberal",konservativ
72,73,GRUENE,3,2013,0,"sozial
freiheitlich
gerecht","konservativ
national
neoliberal",national
72,73,GRUENE,3,2013,0,"sozial
freiheitlich
gerecht","konservativ
national
neoliberal",neoliberal
73,74,PIRATEN,3,2013,0,"gute frage
nicht links nicht rechts halte ich für eine gefährlich irreführende parole dennoch sind linksrechts zu verschwommen bis auf die extreme zu sehr unklar und werden mir zu oft nur noch als schlag schimpfwörter benutzt

g","neonazis
rassismus
ausländerfeindlichkeit
frauenfeindlichkeit
homophobie
menschenverachtung
extremer konservativismus
nationalismus
ablehnung von individualität und individueller freiheit
ablehnung der gleichheit und gleichberechtigung von m",rassismus
73,74,PIRATEN,3,2013,0,"gute frage
nicht links nicht rechts halte ich für eine gefährlich irreführende parole dennoch sind linksrechts zu verschwommen bis auf die extreme zu sehr unklar und werden mir zu oft nur noch als schlag schimpfwörter benutzt

g","neonazis
rassismus
ausländerfeindlichkeit
frauenfeindlichkeit
homophobie
menschenverachtung
extremer konservativismus
nationalismus
ablehnung von individualität und individueller freiheit
ablehnung der gleichheit und gleichberechtigung von m",ausländerfeindlichkeit
73,74,PIRATEN,3,2013,0,"gute frage
nicht links nicht rechts halte ich für eine gefährlich irreführende parole dennoch sind linksrechts zu verschwommen bis auf die extreme zu sehr unklar und werden mir zu oft nur noch als schlag schimpfwörter benutzt

g","neonazis
rassismus
ausländerfeindlichkeit
frauenfeindlichkeit
homophobie
menschenverachtung
extremer konservativismus
nationalismus
ablehnung von individualität und individueller freiheit
ablehnung der gleichheit und gleichberechtigung von m",konservativismus
73,74,PIRATEN,3,2013,0,"gute frage
nicht links nicht rechts halte ich für eine gefährlich irreführende parole dennoch sind linksrechts zu verschwommen bis auf die extreme zu sehr unklar und werden mir zu oft nur noch als schlag schimpfwörter benutzt

g","neonazis
rassismus
ausländerfeindlichkeit
frauenfeindlichkeit
homophobie
menschenverachtung
extremer konservativismus
nationalismus
ablehnung von individualität und individueller freiheit
ablehnung der gleichheit und gleichberechtigung von m",nationalismus
73,74,PIRATEN,3,2013,0,"gute frage
nicht links nicht rechts halte ich für eine gefährlich irreführende parole dennoch sind linksrechts zu verschwommen bis auf die extreme zu sehr unklar und werden mir zu oft nur noch als schlag schimpfwörter benutzt

g","neonazis
rassismus
ausländerfeindlichkeit
frauenfeindlichkeit
homophobie
menschenverachtung
extremer konservativismus
nationalismus
ablehnung von individualität und individueller freiheit
ablehnung der gleichheit und gleichberechtigung von m",ablehnung
73,74,PIRATEN,3,2013,0,"gute frage
nicht links nicht rechts halte ich für eine gefährlich irreführende parole dennoch sind linksrechts zu verschwommen bis auf die extreme zu sehr unklar und werden mir zu oft nur noch als schlag schimpfwörter benutzt

g","neonazis
rassismus
ausländerfeindlichkeit
frauenfeindlichkeit
homophobie
menschenverachtung
extremer konservativismus
nationalismus
ablehnung von individualität und individueller freiheit
ablehnung der gleichheit und gleichberechtigung von m",freiheit
